PlatformGenre,Continent,SumSales
PS3Misc,Asia,1.41
PS3Puzzle,North America,0.39
PS3Puzzle,Europe,0.04
PS3Puzzle,Asia,0.1
PS3Role-Playing,North America,29.93
PS3Role-Playing,Europe,18.44
PS3Role-Playing,Asia,16.85
PS3Racing,North America,23.89
PS3Racing,Europe,32.87
PS3Racing,Asia,3.13
PS3Platform,North America,13.34
PS3Platform,Europe,10.96
PS3Platform,Asia,0.61
PS3Sports,North America,60.91
PS3Sports,Europe,46.64
PS3Sports,Asia,7.96
PS2Strategy,North America,3.57
PS2Strategy,Europe,2.38
PS2Strategy,Asia,8.28
PS2Adventure,North America,6.71
PS2Adventure,Europe,5.09
PS2Adventure,Asia,7.43
PS2Fighting,North America,44.98
PS2Fighting,Europe,23.51
PS2Fighting,Asia,11.65
PS2Action,North America,127.82
PS2Action,Europe,71.44
PS2Action,Asia,25.81
PS2Simulation,North America,19.37
PS2Simulation,Europe,12.25
PS2Simulation,Asia,6.57
PS2Shooter,North America,57.53
PS2Shooter,Europe,33.7
PS2Shooter,Asia,3.84
PS2Misc,North America,40.73
PS2Misc,Europe,29.91
PS2Misc,Asia,8.03
PS2Puzzle,North America,2.84
PS2Puzzle,Europe,1.93
PS2Puzzle,Asia,0.45
PS2Role-Playing,North America,32.85
PS2Role-Playing,Europe,18.42
PS2Role-Playing,Asia,34.01
PS2Racing,North America,75.72
PS2Racing,Europe,47.38
PS2Racing,Asia,5.92
PS2Platform,North America,37.6
PS2Platform,Europe,23.32
PS2Platform,Asia,2.47
PS2Sports,North America,134.12
PS2Sports,Europe,69.96
PS2Sports,Asia,24.74
SNESStrategy,North America,0.3
SNESStrategy,Europe,0
SNESStrategy,Asia,4.68
SNESAdventure,North America,0
SNESAdventure,Europe,0
SNESAdventure,Asia,1.5
SNESFighting,North America,9.34
SNESFighting,Europe,2.9
SNESFighting,Asia,14.27
SNESAction,North America,4.09
SNESAction,Europe,1.33
SNESAction,Asia,4.46
SNESSimulation,North America,1.39
SNESSimulation,Europe,0.44
SNESSimulation,Asia,3.74
SNESShooter,North America,2.67
SNESShooter,Europe,0.89
SNESShooter,Asia,2.38
SNESMisc,North America,1.43
SNESMisc,Europe,0.54
SNESMisc,Asia,2.98
SNESPuzzle,North America,0
SNESPuzzle,Europe,0
SNESPuzzle,Asia,6.37
SNESRole-Playing,North America,2.29
SNESRole-Playing,Europe,0.16
SNESRole-Playing,Asia,33.76
SNESRacing,North America,4.91
SNESRacing,Europe,1.75
SNESRacing,Asia,6.58
SNESPlatform,North America,32.71
SNESPlatform,Europe,10.74
SNESPlatform,Asia,20.42
SNESSports,North America,2.1
SNESSports,Europe,0.29
SNESSports,Asia,15.41
